2009-04-26 00:01 - JobOrganizer - INFO: ========================================
2009-04-26 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-04-26 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-04-26 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-04-26 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-04-26 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-04-26 00:01 - JobOrganizer - INFO: ========================================
2009-04-26 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 00:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:06 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:08 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:10 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:12 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:14 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:16 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:18 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:20 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:22 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 01:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:06 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:08 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:37 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:39 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:41 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:43 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:45 - JobOrganizer - INFO: Updating jobInformation list
2009-04-26 02:47 - JobOrganizer - INFO: Updating jobInformation list
