2009-05-27 00:01 - JobOrganizer - INFO: ========================================
2009-05-27 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-05-27 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-05-27 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-05-27 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-05-27 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-05-27 00:01 - JobOrganizer - INFO: ========================================
2009-05-27 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:23 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:25 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:27 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:29 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:31 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:33 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:35 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:37 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:39 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:41 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:43 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:45 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:47 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:49 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:51 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:53 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:55 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:57 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 00:59 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:01 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:03 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:05 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:36 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:38 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:40 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:42 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:44 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:46 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:48 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:50 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:52 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:54 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:56 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 01:58 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:00 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:02 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:04 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:06 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:32 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:34 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:36 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:38 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:40 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:42 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:44 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:46 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:48 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:50 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:52 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:54 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:56 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 02:58 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:00 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:02 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:04 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:06 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:08 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:10 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:12 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:14 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:16 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:18 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:20 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:22 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:24 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:26 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:28 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:30 - JobOrganizer - INFO: Updating jobInformation list
2009-05-27 03:32 - JobOrganizer - INFO: Updating jobInformation list
