2009-04-07 00:01 - JobOrganizer - INFO: ========================================
2009-04-07 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-04-07 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-04-07 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-04-07 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-04-07 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-04-07 00:01 - JobOrganizer - INFO: ========================================
2009-04-07 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:38 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:40 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:42 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:44 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:46 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:48 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:50 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:52 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:54 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:56 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 00:58 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 01:00 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 01:02 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 01:04 - JobOrganizer - INFO: Updating jobInformation list
2009-04-07 01:06 - JobOrganizer - INFO: Updating jobInformation list
