2009-04-10 00:01 - JobOrganizer - INFO: ========================================
2009-04-10 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-04-10 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-04-10 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-04-10 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-04-10 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-04-10 00:01 - JobOrganizer - INFO: ========================================
2009-04-10 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:37 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:39 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:41 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:43 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:45 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:47 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:49 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:51 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:53 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:55 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:57 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 00:59 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:01 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:37 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:39 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:41 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:43 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:45 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:47 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:49 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:51 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:53 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:55 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:57 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 01:59 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:01 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:11 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:13 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:15 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:17 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:19 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:21 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:23 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:25 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:27 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:29 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:31 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:33 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:35 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:37 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:39 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:41 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:43 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:45 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:47 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:49 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:51 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:53 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:55 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:57 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 02:59 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:01 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:03 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:05 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:07 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:09 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:12 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:14 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:16 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:18 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:20 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:22 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:24 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:26 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:28 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:30 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:32 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:34 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:36 - JobOrganizer - INFO: Updating jobInformation list
2009-04-10 03:38 - JobOrganizer - INFO: Updating jobInformation list
