2009-06-22 00:01 - JobOrganizer - INFO: ========================================
2009-06-22 00:01 - JobOrganizer - INFO: JobOrganizer in init
2009-06-22 00:01 - JobOrganizer - INFO: init file JobOrganizerConfig.py was found
2009-06-22 00:01 - JobOrganizer - INFO: retrieveing Db parameters from JobOrganizerConfig.py file
2009-06-22 00:01 - JobOrganizer - INFO: creating job configurations from JobOrganizerConfig.py file
2009-06-22 00:01 - JobOrganizer - INFO: JobOrganizer initialized
2009-06-22 00:01 - JobOrganizer - INFO: ========================================
2009-06-22 00:03 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:05 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:07 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:09 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:11 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:13 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:15 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:17 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:19 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:21 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:23 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:25 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:27 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:29 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:31 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:33 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:35 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:37 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:39 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:41 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:43 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:45 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:47 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:49 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:51 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:53 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:55 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:57 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 00:59 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:01 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:03 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:05 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:07 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:09 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:11 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:13 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:15 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:17 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:19 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:21 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:23 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:25 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:27 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:29 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:31 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:33 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:35 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:37 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:39 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:41 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:43 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:45 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:47 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:49 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:51 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:53 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:55 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:57 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 01:59 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:01 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:03 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:05 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:07 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:09 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:11 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:13 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:15 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:17 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:19 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:21 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:23 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:25 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:27 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:29 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:31 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:33 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:35 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:37 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:39 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:41 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:43 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:45 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:47 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:49 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:51 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:53 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:55 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:57 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 02:59 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 03:01 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 03:03 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 03:05 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 03:07 - JobOrganizer - INFO: Updating jobInformation list
2009-06-22 03:09 - JobOrganizer - INFO: Updating jobInformation list
